Country,Airports number
Afghanistan,21
Albania,5
Algeria,45
American Samoa,4
Angola,26
Anguilla,1
Antarctica,7
Antigua and Barbuda,2
Argentina,95
Armenia,5
Aruba,1
Australia,346
Austria,41
Azerbaijan,8
Bahamas,37
Bahrain,2
Bangladesh,13
Barbados,1
Belarus,12
Belgium,34
Belize,13
Benin,3
Bermuda,1
Bhutan,4
Bolivia,24
Bosnia and Herzegovina,5
Botswana,20
Brazil,271
British Indian Ocean Territory,1
British Virgin Islands,3
Brunei,3
Bulgaria,12
Burkina Faso,2
Burma,43
Burundi,1
Cambodia,9
Cameroon,10
Canada,500
Cape Verde,7
Cayman Islands,3
Central African Republic,3
Chad,7
Chile,45
China,273
Christmas Island,1
Cocos (Keeling) Islands,1
Colombia,79
Comoros,4
Congo (Brazzaville),5
Congo (Kinshasa),44
Cook Islands,8
Costa Rica,30
Cote d'Ivoire,8
Croatia,18
Cuba,32
Cyprus,5
Czech Republic,27
Denmark,45
Djibouti,3
Dominica,2
Dominican Republic,15
East Timor,3
Ecuador,38
Egypt,27
El Salvador,3
Equatorial Guinea,3
Eritrea,3
Estonia,11
Ethiopia,32
Falkland Islands,3
Faroe Islands,6
Fiji,19
Finland,59
France,305
French Guiana,6
French Polynesia,49
Gabon,13
Gambia,1
Georgia,10
Germany,518
Ghana,6
Gibraltar,1
Greece,75
Greenland,60
Grenada,2
Guadeloupe,7
Guam,2
Guatemala,11
Guernsey,2
Guinea,8
Guinea-Bissau,3
Guyana,14
Haiti,6
Honduras,12
Hong Kong,8
Hungary,15
Iceland,21
India,176
Indonesia,178
Iran,83
Iraq,16
Ireland,19
Isle of Man,1
Israel,18
Italy,120
Jamaica,6
Japan,164
Jersey,1
Johnston Atoll,1
Jordan,5
Kazakhstan,29
Kenya,51
Kiribati,18
Kuwait,3
Kyrgyzstan,11
Laos,14
Latvia,6
Lebanon,3
Lesotho,3
Liberia,3
Libya,20
Lithuania,10
Luxembourg,1
Macau,1
Macedonia,2
Madagascar,44
Malawi,10
Malaysia,44
Maldives,32
Mali,10
Malta,4
Marshall Islands,30
Martinique,1
Mauritania,11
Mauritius,2
Mayotte,1
Mexico,88
Micronesia,4
Midway Islands,1
Moldova,7
Mongolia,16
Montenegro,4
Montserrat,2
Morocco,26
Mozambique,28
Myanmar,1
Namibia,19
Nauru,1
Nepal,39
Netherlands,66
Netherlands Antilles,6
New Caledonia,11
New Zealand,72
Nicaragua,13
Niger,7
Nigeria,36
Niue,1
Norfolk Island,1
North Korea,9
Northern Mariana Islands,3
Norway,68
Oman,8
Pakistan,53
Palau,1
Palestine,1
Panama,27
Papua New Guinea,56
Paraguay,9
Peru,45
Philippines,73
Poland,55
Portugal,35
Puerto Rico,11
Qatar,3
Reunion,3
Romania,22
Russia,276
Rwanda,3
Saint Helena,1
Saint Kitts and Nevis,2
Saint Lucia,2
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,5
Samoa,4
Sao Tome and Principe,2
Saudi Arabia,46
Senegal,11
Serbia,7
Seychelles,10
Sierra Leone,8
Singapore,7
Slovakia,8
Slovenia,6
Solomon Islands,25
Somalia,13
South Africa,102
South Korea,34
South Sudan,5
Spain,84
Sri Lanka,14
Sudan,20
Suriname,22
Svalbard,2
Swaziland,2
Sweden,158
Switzerland,61
Syria,6
Taiwan,60
Tajikistan,4
Tanzania,29
Thailand,55
Togo,4
Tonga,6
Trinidad and Tobago,2
Tunisia,13
Turkey,78
Turkmenistan,6
Turks and Caicos Islands,6
Tuvalu,1
Uganda,14
Ukraine,41
United Arab Emirates,19
United Kingdom,211
United States,2081
Uruguay,11
Uzbekistan,13
Vanuatu,29
Venezuela,59
Vietnam,28
Virgin Islands,4
Wake Island,1
Wallis and Futuna,2
West Bank,1
Western Sahara,3
Yemen,11
Zambia,14
Zimbabwe,18
